Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/VO_0002387,http://purl.obolibrary.org/obo/VO_0002388,"Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-GrippotyphosaIcterohaemorrhagiae-Pomona Bacterial Extract"
http://purl.obolibrary.org/obo/VO_0004089,http://purl.obolibrary.org/obo/VO_0000433,"ACAM1000"
http://purl.obolibrary.org/obo/VO_0002091,http://purl.obolibrary.org/obo/VO_0002413,"Canine Distemper-Adenovirus Type 2-Parvovirus Modified Live Virus Vaccine (USDA: 1331.25)"
http://purl.obolibrary.org/obo/VO_0003083,http://purl.obolibrary.org/obo/VO_0000642,"Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted by GSK"
http://purl.obolibrary.org/obo/VO_0001366,http://purl.obolibrary.org/obo/VO_0000609,"Caprine herpesvirus type 1 vaccine"
http://purl.obolibrary.org/obo/VO_0000051,http://purl.obolibrary.org/obo/NCBITaxon_10090,"Balb/c mouse"
http://purl.obolibrary.org/obo/VO_0002449,http://purl.obolibrary.org/obo/VO_0002451,"Mink Distemper-Enteritis Vaccine-Clostridium Botulinum Type C Bacterin-Toxoid"
http://purl.obolibrary.org/obo/VO_0002235,http://purl.obolibrary.org/obo/VO_0002403,"Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live Virus, Live Canarypox Vector Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 46J9.R1)"
http://purl.obolibrary.org/obo/VO_0002388,http://purl.obolibrary.org/obo/VO_0002392,"Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract"
http://purl.obolibrary.org/obo/VO_0010988,http://purl.obolibrary.org/obo/VO_0010766,"IroN"
http://purl.obolibrary.org/obo/VO_0003007,http://purl.obolibrary.org/obo/VO_0000087,"Plasmodium FabB/FabF mutant vaccine"
http://purl.obolibrary.org/obo/VO_0010777,http://purl.obolibrary.org/obo/VO_0010753,"Shigella protein"
http://purl.obolibrary.org/obo/CHEBI_23367,http://purl.obolibrary.org/obo/CHEBI_24431,"molecular entity"
http://purl.obolibrary.org/obo/VO_0001771,http://purl.obolibrary.org/obo/VO_0000460,"Equine Influenza Killed Virus Vaccine (USDA: 1505.21)"
http://purl.obolibrary.org/obo/VO_0002015,http://purl.obolibrary.org/obo/VO_0002373,"Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4367.30)"
http://purl.obolibrary.org/obo/NCBITaxon_12058,http://purl.obolibrary.org/obo/NCBITaxon_35278,"Picornaviridae"
http://purl.obolibrary.org/obo/NCBITaxon_444178,http://purl.obolibrary.org/obo/NCBITaxon_236,"Brucella ovis ATCC 25840"
http://purl.obolibrary.org/obo/VO_0002094,http://purl.obolibrary.org/obo/VO_0002413,"Canine Distemper-Adenovirus Type 2-Parvovirus Modified Live Virus, Canarypox Vector Vaccine (USDA: 1331.R1)"
http://purl.obolibrary.org/obo/BFO_0000035,http://purl.obolibrary.org/obo/BFO_0000003,"process boundary"
http://purl.obolibrary.org/obo/VO_0003003,http://purl.obolibrary.org/obo/VO_0012188,"Western equine encephalomyelitis virus PE2/E1 mutant vaccine"
http://purl.obolibrary.org/obo/VO_0001773,http://purl.obolibrary.org/obo/VO_0000460,"Equine Influenza Killed Virus Vaccine (USDA: 1505.25)"
http://purl.obolibrary.org/obo/VO_0002011,http://purl.obolibrary.org/obo/VO_0002372,"Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 11A1.26)"
http://purl.obolibrary.org/obo/VO_0001098,http://purl.obolibrary.org/obo/OBI_0000181,"persons  living with or providing care for infants aged <6 months"
http://purl.obolibrary.org/obo/VO_0003086,http://purl.obolibrary.org/obo/VO_0003068,"RB51 induced immune protection"
http://purl.obolibrary.org/obo/VO_0002787,http://purl.obolibrary.org/obo/VO_0000077,"Mycobacterium tuberculosis RD1/panCD mutant vaccine"
http://purl.obolibrary.org/obo/DOID_8469,http://purl.obolibrary.org/obo/DOID_934,"influenza"
http://purl.obolibrary.org/obo/UBERON_0004120,http://purl.obolibrary.org/obo/UBERON_0000061,"mesoderm-derived structure"
http://purl.obolibrary.org/obo/VO_0000837,http://purl.obolibrary.org/obo/VO_0000648,"microencapsulated Caf1 and LcrV vaccine"
http://purl.obolibrary.org/obo/VO_0011512,http://purl.obolibrary.org/obo/VO_0012167,"Dobrava-Belgrade virus S nucleocapsid protein vaccine"
http://purl.obolibrary.org/obo/VO_0004088,http://purl.obolibrary.org/obo/VO_0012177,"YFV17D/LAS-GPC"
http://purl.obolibrary.org/obo/VO_0000317,http://purl.obolibrary.org/obo/VO_0000435,"Psin DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0000957,http://purl.obolibrary.org/obo/VO_0000108,"Brucella abortus recombinant vector vaccine"
http://purl.obolibrary.org/obo/VO_0001577,http://purl.obolibrary.org/obo/VO_0000021,"Brucella Abortus Strain RB-51, Live Culture Vaccine (USDA: 1261.00)"
http://purl.obolibrary.org/obo/PATO_0001678,http://purl.obolibrary.org/obo/PATO_0001029,"efficient"
http://purl.obolibrary.org/obo/VO_0002236,http://purl.obolibrary.org/obo/VO_0002404,"Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract (USDA: 46L9.27)"
http://purl.obolibrary.org/obo/VO_0000054,http://purl.obolibrary.org/obo/VO_0000664,"IPOL"
http://purl.obolibrary.org/obo/VO_0002389,http://purl.obolibrary.org/obo/VO_0002390,"Canine Coronavirus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract"
http://purl.obolibrary.org/obo/VO_0004149,http://purl.obolibrary.org/obo/VO_0003060,"Recombinant vaccinia A27L, D8L, and B5R Proteins with adjuvant MPL-TDM"
http://purl.obolibrary.org/obo/VO_0001362,http://purl.obolibrary.org/obo/VO_0002813,"allergy vaccine"
http://purl.obolibrary.org/obo/VO_0010842,http://purl.obolibrary.org/obo/VO_0010755,"Cryptosporidium parvum protein"
http://purl.obolibrary.org/obo/VO_0010774,http://purl.obolibrary.org/obo/VO_0010754,"VEE Virus protein"
http://purl.obolibrary.org/obo/NCBITaxon_76804,http://purl.obolibrary.org/obo/NCBITaxon_35278,"Nidovirales"
http://purl.obolibrary.org/obo/VO_0005059,http://purl.obolibrary.org/obo/VO_0000435,"pWRG7079 DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0001002,http://purl.obolibrary.org/obo/VO_0000435,"phCMV1 DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0003004,http://purl.obolibrary.org/obo/VO_0012188,"Western equine encephalomyelitis virus PE2/E2 mutant virus"
http://purl.obolibrary.org/obo/VO_0003117,http://purl.obolibrary.org/obo/VO_0000731,"Virivac"
http://purl.obolibrary.org/obo/VO_0002788,http://purl.obolibrary.org/obo/VO_0000772,"Streptococcus suis vaccine"
http://purl.obolibrary.org/obo/VO_0002012,http://purl.obolibrary.org/obo/VO_0002372,"Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 11A1.30)"
http://purl.obolibrary.org/obo/VO_0001097,http://purl.obolibrary.org/obo/VO_0012178,"RECOMBITEK rDistemper"
http://purl.obolibrary.org/obo/VO_0001774,http://purl.obolibrary.org/obo/VO_0000460,"Equine Influenza Killed Virus Vaccine (USDA: 1505.28)"
http://purl.obolibrary.org/obo/VO_0004460,http://purl.obolibrary.org/obo/VO_0001229,"Chinese S. japonicum DNA vaccine pVIVO2-IL12-Sj23 encoding Sj23 and IL-12"
