source,target,relation
http://purl.obolibrary.org/obo/VO_0003067,http://purl.obolibrary.org/obo/NCBITaxon_197912,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002605,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0002417,http://purl.obolibrary.org/obo/NCBITaxon_10788,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001938,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001833,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004633,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002484,http://purl.obolibrary.org/obo/NCBITaxon_10792,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0003056,http://purl.obolibrary.org/obo/NCBITaxon_11287,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002070,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002288,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0010748,http://purl.obolibrary.org/obo/VO_0000930,has part
http://purl.obolibrary.org/obo/VO_0001660,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0010905,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002342,http://purl.obolibrary.org/obo/NCBITaxon_11215,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000517,http://purl.obolibrary.org/obo/NCBITaxon_9606,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0004008,http://purl.obolibrary.org/obo/NCBITaxon_1313,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000557,http://purl.obolibrary.org/obo/NCBITaxon_10141,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0004243,http://purl.obolibrary.org/obo/NCBITaxon_5820,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001977,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0004540,http://purl.obolibrary.org/obo/NCBITaxon_1764,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011216,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0000064,http://purl.obolibrary.org/obo/VO_0001187,is_specified_input_of
http://purl.obolibrary.org/obo/VO_0011272,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001688,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0002398,http://purl.obolibrary.org/obo/NCBITaxon_10514,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002233,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001244,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002446,http://purl.obolibrary.org/obo/NCBITaxon_9913,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0002484,http://purl.obolibrary.org/obo/NCBITaxon_11232,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001817,http://purl.obolibrary.org/obo/VO_0001187,is_specified_input_of
http://purl.obolibrary.org/obo/VO_0000944,http://purl.obolibrary.org/obo/NCBITaxon_562,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011534,http://purl.obolibrary.org/obo/VO_0010885,expresses
http://purl.obolibrary.org/obo/VO_0011316,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0000906,http://purl.obolibrary.org/obo/NCBITaxon_5800,vaccine immunization against microbe
