source,target,relation
http://purl.obolibrary.org/obo/OBI_0200119,http://purl.obolibrary.org/obo/OBI_0000674,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000498,http://purl.obolibrary.org/obo/OBI_0200201,is_specified_input_of
http://purl.obolibrary.org/obo/OBI_0500000,http://purl.obolibrary.org/obo/OBI_0000750,declares
http://purl.obolibrary.org/obo/STATO_0000304,http://purl.obolibrary.org/obo/STATO_0000019,is denoted by
http://purl.obolibrary.org/obo/STATO_0000220,http://purl.obolibrary.org/obo/OBI_0000673,achieves
http://purl.obolibrary.org/obo/STATO_0000166,http://purl.obolibrary.org/obo/OBI_0000963,denotes
http://purl.obolibrary.org/obo/OBI_0200201,http://purl.obolibrary.org/obo/STATO_0000069,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000143,http://purl.obolibrary.org/obo/STATO_0000266,has part
http://purl.obolibrary.org/obo/STATO_0000337,http://purl.obolibrary.org/obo/stato.owl#pedigree_data_set,has_specified_input
http://purl.obolibrary.org/obo/OBI_0200050,http://purl.obolibrary.org/obo/OBI_0200178,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000480,http://purl.obolibrary.org/obo/stato.owl#response_variable_explained_by_random_effect_hypothesis,has part
http://purl.obolibrary.org/obo/STATO_0000261,http://purl.obolibrary.org/obo/STATO_0000255,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000082,http://purl.obolibrary.org/obo/OBI_0000751,has fixed effect on
http://purl.obolibrary.org/obo/STATO_0000286,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000277,http://purl.obolibrary.org/obo/OBI_0001755,achieves
http://purl.obolibrary.org/obo/STATO_0000013,http://purl.obolibrary.org/obo/STATO_0000020,has part
http://purl.obolibrary.org/obo/STATO_0000275,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000442,http://purl.obolibrary.org/obo/STATO_0000036,achieves
http://purl.obolibrary.org/obo/STATO_0000218,http://purl.obolibrary.org/obo/STATO_0000107,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000284,http://purl.obolibrary.org/obo/STATO_0000108,has part
http://purl.obolibrary.org/obo/STATO_0000083,http://purl.obolibrary.org/obo/STATO_0000224,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000174,http://purl.obolibrary.org/obo/STATO_0000155,preceded by
http://purl.obolibrary.org/obo/STATO_0000310,http://purl.obolibrary.org/obo/STATO_0000121,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000079,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000275,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000384,http://purl.obolibrary.org/obo/STATO_0000383,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000225,http://purl.obolibrary.org/obo/STATO_0000500,is denoted by
http://purl.obolibrary.org/obo/STATO_0000218,http://purl.obolibrary.org/obo/STATO_0000472,has part
http://purl.obolibrary.org/obo/OBI_0000435,http://purl.obolibrary.org/obo/CHEBI_16991,role of
http://purl.obolibrary.org/obo/STATO_0000494,http://purl.obolibrary.org/obo/OBI_0001305,achieves
http://purl.obolibrary.org/obo/STATO_0000339,http://purl.obolibrary.org/obo/stato.owl#pedigree_data_set,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000100,http://purl.obolibrary.org/obo/STATO_0000175,is_specified_input_of
http://purl.obolibrary.org/obo/STATO_0000052,http://purl.obolibrary.org/obo/STATO_0000196,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000285,http://purl.obolibrary.org/obo/STATO_0000060,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000082,http://purl.obolibrary.org/obo/OBI_0000750,achieves
http://purl.obolibrary.org/obo/STATO_0000156,http://purl.obolibrary.org/obo/OBI_0200201,preceded by
http://purl.obolibrary.org/obo/STATO_0000324,http://purl.obolibrary.org/obo/STATO_0000322,achieves
http://purl.obolibrary.org/obo/STATO_0000275,http://purl.obolibrary.org/obo/STATO_0000257,has part
http://purl.obolibrary.org/obo/STATO_0000045,http://purl.obolibrary.org/obo/STATO_0000196,has_specified_output
http://purl.obolibrary.org/obo/OBI_0000889,http://purl.obolibrary.org/obo/OBI_0000789,achieves
http://purl.obolibrary.org/obo/stato.owl#pedigree_data_set,http://purl.obolibrary.org/obo/STATO_0000257,achieves
http://purl.obolibrary.org/obo/STATO_0000338,http://purl.obolibrary.org/obo/STATO_0000485,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000151,http://purl.obolibrary.org/obo/IAO_0000100,achieves
http://purl.obolibrary.org/obo/STATO_0000443,http://purl.obolibrary.org/obo/STATO_0000227,has_specified_input
http://purl.obolibrary.org/obo/OBI_0000453,http://purl.obolibrary.org/obo/IAO_0000109,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000303,http://purl.obolibrary.org/obo/STATO_0000059,has_specified_input
http://purl.obolibrary.org/obo/OBI_0000424,http://purl.obolibrary.org/obo/GO_0010467,achieves
http://purl.obolibrary.org/obo/STATO_0000037,http://purl.obolibrary.org/obo/STATO_0000039,estimate of
http://purl.obolibrary.org/obo/STATO_0000532,http://purl.obolibrary.org/obo/STATO_0000218,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000302,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/OBI_0200201,http://purl.obolibrary.org/obo/STATO_0000204,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000074,http://purl.obolibrary.org/obo/STATO_0000229,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000182,http://purl.obolibrary.org/obo/OBI_0001404,achieves
http://purl.obolibrary.org/obo/STATO_0000492,http://purl.obolibrary.org/obo/STATO_0000547,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000081,http://purl.obolibrary.org/obo/STATO_0000229,has_specified_input
http://purl.obolibrary.org/obo/OBI_1000029,http://purl.obolibrary.org/obo/OBI_0000731,has grain
http://purl.obolibrary.org/obo/OBI_0000789,http://purl.obolibrary.org/obo/STATO_0000047,achieves
http://purl.obolibrary.org/obo/OBI_0000739,http://purl.obolibrary.org/obo/STATO_0000176,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000045,http://purl.obolibrary.org/obo/STATO_0000069,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000323,http://purl.obolibrary.org/obo/STATO_0000322,has part
http://purl.obolibrary.org/obo/STATO_0000153,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000443,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000135,http://purl.obolibrary.org/obo/STATO_0000277,is_specified_input_of
http://purl.obolibrary.org/obo/STATO_0000299,http://purl.obolibrary.org/obo/OBI_0000673,precedes
http://purl.obolibrary.org/obo/STATO_0000559,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000468,http://purl.obolibrary.org/obo/STATO_0000047,has order in sequence
http://purl.obolibrary.org/obo/STATO_0000081,http://purl.obolibrary.org/obo/STATO_0000121,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000048,http://purl.obolibrary.org/obo/STATO_0000086,has part
http://purl.obolibrary.org/obo/STATO_0000438,http://purl.obolibrary.org/obo/STATO_0000435,is denoted by
http://purl.obolibrary.org/obo/OBI_0000338,http://purl.obolibrary.org/obo/OBI_0001909,has_specified_output
http://purl.obolibrary.org/obo/OBI_0000673,http://purl.obolibrary.org/obo/STATO_0000207,has part
http://purl.obolibrary.org/obo/OBI_0600015,http://purl.obolibrary.org/obo/OBI_0100026,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000309,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/IAO_0000401,http://purl.obolibrary.org/obo/BFO_0000018,part of
http://purl.obolibrary.org/obo/OBI_0000185,http://purl.obolibrary.org/obo/OBI_0000441,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000280,http://purl.obolibrary.org/obo/STATO_0000019,is denoted by
http://purl.obolibrary.org/obo/OBI_0600024,http://purl.obolibrary.org/obo/OBI_0100060,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000298,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000086,http://purl.obolibrary.org/obo/STATO_0000282,has_specified_input
http://purl.obolibrary.org/obo/OBI_0200041,http://purl.obolibrary.org/obo/OBI_0200172,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000484,http://purl.obolibrary.org/obo/STATO_0000334,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000253,http://purl.obolibrary.org/obo/STATO_0000062,has part
http://purl.obolibrary.org/obo/STATO_0000372,http://purl.obolibrary.org/obo/STATO_0000108,part of
http://purl.obolibrary.org/obo/STATO_0000181,http://purl.obolibrary.org/obo/STATO_0000224,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000168,http://purl.obolibrary.org/obo/STATO_0000244,denotes
http://purl.obolibrary.org/obo/STATO_0000260,http://purl.obolibrary.org/obo/IAO_0000584,denotes
http://purl.obolibrary.org/obo/STATO_0000219,http://purl.obolibrary.org/obo/CHEBI_33696,achieves
http://purl.obolibrary.org/obo/STATO_0000483,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/OBI_0000931,http://purl.obolibrary.org/obo/OBI_0100051,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000094,http://purl.obolibrary.org/obo/OBI_0000675,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000299,http://purl.obolibrary.org/obo/STATO_0000116,precedes
http://purl.obolibrary.org/obo/STATO_0000024,http://purl.obolibrary.org/obo/STATO_0000018,has part
http://purl.obolibrary.org/obo/OBI_0600014,http://purl.obolibrary.org/obo/BFO_0000040,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000407,http://purl.obolibrary.org/obo/STATO_0000007,denotes
http://purl.obolibrary.org/obo/STATO_0000141,http://purl.obolibrary.org/obo/OBI_0500014,executes
http://purl.obolibrary.org/obo/STATO_0000042,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000309,http://purl.obolibrary.org/obo/STATO_0000224,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000422,http://purl.obolibrary.org/obo/STATO_0000155,preceded by
http://purl.obolibrary.org/obo/STATO_0000045,http://purl.obolibrary.org/obo/STATO_0000234,achieves
http://purl.obolibrary.org/obo/STATO_0000037,http://purl.obolibrary.org/obo/STATO_0000401,achieves
http://purl.obolibrary.org/obo/STATO_0000469,http://purl.obolibrary.org/obo/STATO_0000047,has order in sequence
http://purl.obolibrary.org/obo/STATO_0000383,http://purl.obolibrary.org/obo/STATO_0000384,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000277,http://purl.obolibrary.org/obo/STATO_0000279,is_specified_output_of
http://purl.obolibrary.org/obo/OBI_0000931,http://purl.obolibrary.org/obo/OBI_0000115,concretizes
http://purl.obolibrary.org/obo/STATO_0000260,http://purl.obolibrary.org/obo/STATO_0000199,preceded by
http://purl.obolibrary.org/obo/STATO_0000073,http://purl.obolibrary.org/obo/STATO_0000088,has quality
http://purl.obolibrary.org/obo/STATO_0000097,http://purl.obolibrary.org/obo/STATO_0000085,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000455,http://purl.obolibrary.org/obo/STATO_0000144,achieves
http://purl.obolibrary.org/obo/STATO_0000378,http://purl.obolibrary.org/obo/STATO_0000107,achieves
