Class ID,Parents,Preferred Label
http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"Veneziana"
http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"FrutosDoMar"
http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,"PizzaComUmNome"
http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"LeekTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#MixedSeafoodTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#FishTopping,"CoberturaDeFrutosDoMarMistos"
http://www.co-ode.org/ontologies/pizza/pizza.owl#GarlicTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"GarlicTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#SweetPepperTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping,"SweetPepperTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseyPizza,http://www.w3.org/2002/07/owl#Thing,"PizzaComQueijo"
http://www.co-ode.org/ontologies/pizza/pizza.owl#QuattroFormaggi,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"QuattroFormaggi"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Country,http://www.w3.org/2002/07/owl#Thing,"Country"
http://www.co-ode.org/ontologies/pizza/pizza.owl#GreenPepperTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping,"GreenPepperTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#PolloAdAstra,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"PolloAdAstra"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Margherita,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"Margherita"
http://www.co-ode.org/ontologies/pizza/pizza.owl#ArtichokeTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"CoberturaDeArtichoke"
http://www.co-ode.org/ontologies/pizza/pizza.owl#ValuePartition,http://www.w3.org/2002/07/owl#Thing,"ValorDaParticao"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Parmense,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"Parmense"
http://www.co-ode.org/ontologies/pizza/pizza.owl#FishTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping,"CoberturaDePeixe"
http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"OliveTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#TobascoPepperSauce,http://www.co-ode.org/ontologies/pizza/pizza.owl#SauceTopping,"TobascoPepperSauceTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Hot,http://www.co-ode.org/ontologies/pizza/pizza.owl#Spiciness,"Hot"
http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"CoberturaPetitPois"
http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping,"CoberturaDeQueijo"
http://www.co-ode.org/ontologies/pizza/pizza.owl#RealItalianPizza,http://www.w3.org/2002/07/owl#Thing,"PizzaItalianaReal"
http://www.co-ode.org/ontologies/pizza/pizza.owl#FourSeasons,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"FourSeasons"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,http://www.co-ode.org/ontologies/pizza/pizza.owl#Food,"Pizza"
http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#Food,"PizzaTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"CoberturaDeTomate"
http://www.co-ode.org/ontologies/pizza/pizza.owl#SauceTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping,"CoberturaEmMolho"
http://www.co-ode.org/ontologies/pizza/pizza.owl#SundriedTomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,"SundriedTomatoTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#HotSpicedBeefTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping,"CoberturaDeBifePicante"
http://www.co-ode.org/ontologies/pizza/pizza.owl#OnionTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"OnionTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#DomainConcept,http://www.w3.org/2002/07/owl#Thing,"DomainThing"
http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping,"MeatTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatyPizza,http://www.w3.org/2002/07/owl#Thing,"PizzaDeCarne"
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"AmericanaPicante"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Medium,http://www.co-ode.org/ontologies/pizza/pizza.owl#Spiciness,"Media"
http://www.co-ode.org/ontologies/pizza/pizza.owl#FourCheesesTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseTopping,"CoberturaQuatroQueijos"
http://www.co-ode.org/ontologies/pizza/pizza.owl#American,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"Americana"
http://www.co-ode.org/ontologies/pizza/pizza.owl#CaperTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,"CaperTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianTopping,http://www.w3.org/2002/07/owl#Thing,"VegetarianTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#RedOnionTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#OnionTopping,"RedOnionTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmaHamTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#HamTopping,"ParmaHamTopping"
http://www.co-ode.org/ontologies/pizza/pizza.owl#GoatsCheeseTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseTopping,"CoberturaDeQueijoDeCabra"
http://www.co-ode.org/ontologies/pizza/pizza.owl#Napoletana,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,"Napoletana"
http://www.co-ode.org/ontologies/pizza/pizza.owl#ThinAndCrispyBase,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaBase,"BaseFinaEQuebradica"
