source,target,relation
http://purl.obolibrary.org/obo/DRON_00024830,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000133,has participant
http://purl.obolibrary.org/obo/DRON_00025297,http://purl.obolibrary.org/obo/DRON_00015719,has_proper_part
http://purl.obolibrary.org/obo/DRON_00025297,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008288,has participant
http://purl.obolibrary.org/obo/DRON_00025299,http://purl.obolibrary.org/obo/CHEBI_27899,has_proper_part
http://purl.obolibrary.org/obo/DRON_00025299,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000233,has participant
http://purl.obolibrary.org/obo/ODNAE_0000179,http://purl.obolibrary.org/obo/DRON_00020523,has participant
http://purl.obolibrary.org/obo/ODNAE_0000177,http://purl.obolibrary.org/obo/DRON_00010449,has participant
http://purl.obolibrary.org/obo/ODNAE_0000178,http://purl.obolibrary.org/obo/DRON_00010568,has participant
http://purl.obolibrary.org/obo/ODNAE_0000176,http://purl.obolibrary.org/obo/DRON_00027215,has participant
http://purl.obolibrary.org/obo/ODNAE_0000175,http://purl.obolibrary.org/obo/DRON_00025774,has participant
http://purl.obolibrary.org/obo/ODNAE_0000174,http://purl.obolibrary.org/obo/DRON_00022889,has participant
http://purl.obolibrary.org/obo/ODNAE_0000173,http://purl.obolibrary.org/obo/DRON_00012997,has participant
http://purl.obolibrary.org/obo/DRON_00021934,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020025,has participant
http://purl.obolibrary.org/obo/DRON_00021934,http://purl.obolibrary.org/obo/CHEBI_46081,has_proper_part
http://purl.obolibrary.org/obo/ODNAE_0000172,http://purl.obolibrary.org/obo/DRON_00025297,has participant
http://purl.obolibrary.org/obo/ODNAE_0000171,http://purl.obolibrary.org/obo/DRON_00020337,has participant
http://purl.obolibrary.org/obo/ODNAE_0000170,http://purl.obolibrary.org/obo/DRON_00022859,has participant
http://purl.obolibrary.org/obo/GO_0009653,http://purl.obolibrary.org/obo/GO_0048856,part of
http://purl.obolibrary.org/obo/ODNAE_0000188,http://purl.obolibrary.org/obo/DRON_00072660,has participant
http://purl.obolibrary.org/obo/ODNAE_0000189,http://purl.obolibrary.org/obo/DRON_00022867,has participant
http://purl.obolibrary.org/obo/DRON_00021937,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000150,has participant
http://purl.obolibrary.org/obo/DRON_00021937,http://purl.obolibrary.org/obo/CHEBI_5100,has_proper_part
